ImagesName,CDR,VCDR,RDR,I,S,N,T,Labels
Negative1,0.6025641025641025,0.47,0.07179487179487179,236,218,130,133,0
Negative10,0.4930555555555556,0.4234592445328032,0.06018518518518518,197,241,127,173,0
Negative11,0.5132978723404256,0.4650602409638554,0.15425531914893617,172,154,133,116,0
Negative12,0.45,0.43291139240506327,0.12105263157894737,161,165,99,169,0
Negative13,0.4475703324808184,0.41866028708133973,0.1329923273657289,173,187,120,170,0
Negative14,0.4580335731414868,0.46359223300970875,0.11031175059952038,183,183,181,147,0
Negative15,0.5043227665706052,0.41273584905660377,0.1440922190201729,186,178,133,124,0
Negative16,0.3994910941475827,0.42318059299191374,0.21628498727735368,172,131,143,147,0
Negative17,0.4212121212121212,0.40406976744186046,0.12121212121212122,165,181,1,151,0
Negative18,0.42209631728045327,0.41620111731843573,0.0906515580736544,167,186,172,134,0
Negative19,0.5349462365591398,0.5063613231552163,0.12365591397849462,158,162,141,128,0
Negative2,0.4523809523809524,0.41007194244604317,0.03439153439153439,196,222,2,193,0
Negative20,0.4890710382513661,0.4601542416452442,0.15846994535519127,133,144,169,117,0
Negative21,0.4802955665024631,0.5227882037533512,0.0960591133004926,159,184,155,176,0
Negative22,0.4609571788413098,0.49728260869565216,0.163727959697733,143,172,139,154,0
Negative23,0.5012722646310432,0.48402948402948404,0.017811704834605598,198,191,189,100,0
Negative24,0.4956521739130435,0.44415584415584414,0.14782608695652175,135,155,101,146,0
Negative25,0.5213414634146342,0.49279538904899134,0.06707317073170732,121,153,141,90,0
Negative26,0.5955414012738853,0.5683890577507599,0.028662420382165606,102,143,132,124,0
Negative27,0.6501305483028721,0.6501305483028721,0.013054830287206266,140,133,144,80,0
Negative28,0.6281690140845071,0.5688775510204082,0.08732394366197183,136,140,87,117,0
Negative29,0.44598337950138506,0.4339622641509434,0.13573407202216067,168,168,153,113,0
Negative3,0.5,0.4425,0.0847457627118644,209,192,141,6,0
Negative30,0.47941176470588237,0.4116161616161616,0.0058823529411764705,168,198,73,177,0
Negative31,0.42618384401114207,0.3893129770992366,0.022284122562674095,181,213,172,188,0
Negative32,0.49038461538461536,0.4751552795031056,0.02564102564102564,151,173,15,141,0
Negative33,0.43515850144092216,0.39018087855297157,0.13256484149855907,141,179,93,157,0
Negative34,0.3442211055276382,0.3486005089058524,0.03015075376884422,156,237,139,199,0
Negative35,0.5331230283911672,0.528125,2.0,141,155,62,151,0
Negative36,0.4273255813953488,0.40273972602739727,0.05813953488372093,178,188,166,5,0
Negative37,0.4889502762430939,0.46578947368421053,0.0027624309392265192,151,199,87,188,0
Negative38,0.5073529411764706,0.4882075471698113,0.1323529411764706,151,177,116,161,0
